@relation 'credit-Kaggle-weka.filters.unsupervised.attribute.Reorder-R10,9,8,7,6,5,4,3,1,2,11'

@attribute NumberOfDependents numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute MonthlyIncome numeric
@attribute DebtRatio numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute SeriousDlqin2yrs {0,1}

@data
2,0,1,0,7,?,2720,0,0.118854,50,0
2,0,2,0,16,8000,0.333583,0,0.457527,51,0
0,0,2,0,5,?,6381,0,0.502958,57,0
3,1,2,0,8,3871,0.314566,2,1.047496,35,0
0,0,0,0,11,2500,0.009596,0,0.012586,79,0
0,0,1,0,7,?,1063,0,0.02658,79,0
1,0,1,0,29,8636,0.214426,0,0.082317,64,0
1,0,0,0,12,6150,0.285157,1,0.739146,63,1
1,0,1,0,7,3640,0.655589,0,0.186891,54,0
?,0,0,0,0,?,130,0,1,22,0
0,0,0,0,10,5228,0.130809,0,0.903232,57,0
1,0,0,0,6,2300,0.108214,0,0.017044,43,0
0,0,0,0,8,20000,0.00855,0,0.060733,61,0
0,0,1,0,11,?,876,0,0.003895,90,0
0,0,0,0,2,?,34,0,0.114589,38,0
2,0,0,0,7,9600,0.070513,0,0.029694,76,0
2,0,1,0,6,10154,0.188282,0,0.305246,39,0
0,0,0,1,5,?,668,1,0.802417,58,1
2,1,0,3,3,6250,0.113422,1,1,42,0
0,0,1,0,9,1,926.5,0,0.134192,63,0
0,0,0,0,5,7444,0.000269,0,0.006666,27,0
?,0,2,0,13,?,2113,0,0,59,0
0,0,1,0,12,?,1599,0,0.011848,49,0
0,0,0,0,5,6700,0.045366,0,0.144914,37,0
0,0,1,0,11,?,724,0,0.032769,70,0
2,0,2,0,20,8785,0.369224,2,0.733885,49,1
0,0,2,0,12,1,2221.5,0,0.063514,57,0
1,5,3,2,11,3000,1.297901,10,0.991502,61,1
0,0,0,0,3,1200,0.035803,0,0.971352,24,0
0,0,1,0,6,5178,0.130141,0,1,79,0
1,0,0,0,1,3648,0.000822,0,0.003852,81,0
0,0,2,0,7,2000,0.725137,0,0.010888,55,0
1,0,1,0,10,3290,0.518991,0,0.212464,58,0
?,0,0,0,2,?,3,0,0.007,97,0
0,0,0,0,2,?,13,0,0.01431,56,0
2,0,1,0,9,3666,0.603763,1,0.297095,43,0
0,0,1,0,2,?,862,0,0,59,0
0,0,2,0,18,9400,0.358153,0,0.319191,49,0
0,0,1,0,28,6000,0.209965,0,0.008737,68,0
2,0,0,2,3,3833,0.191706,1,1,40,0
1,0,0,0,1,3500,0,0,0,23,0
0,0,0,0,7,3762,0.114005,0,0.069988,33,0
0,0,0,0,6,4600,0.009128,0,0.023383,84,0
0,0,0,0,13,3939,0.145685,0,0.057868,81,0
2,0,1,0,14,3917,0.566105,0,0.078077,60,0
0,0,0,0,19,6500,0.05353,0,0.077959,57,0
0,0,1,0,8,8333,0.13031,0,0.205676,57,0
3,0,0,0,1,3416,0.006731,0,1,32,1
0,0,0,0,8,2700,0.594224,0,0.579851,42,1
0,0,1,0,4,4917,0.168768,0,0.745173,68,0
2,0,1,1,6,5500,0.280494,1,0.100883,52,0
1,0,0,0,1,2500,0.041583,0,0.347665,46,0
0,0,4,3,15,9400,0.399106,0,0.029643,50,0
3,0,2,0,17,11266,0.524097,4,0.640927,53,0
0,0,1,0,7,4311,0.374304,0,0.058271,76,0
0,0,1,0,5,6228,0.186226,0,0.719306,64,0
0,0,0,0,8,3900,0.020764,0,0.045017,72,0
0,0,2,0,17,7667,0.478091,0,0.355928,48,0
?,0,0,0,4,?,997,0,0.047587,34,0
0,0,0,0,11,5250,0.086269,1,0.173428,51,0
3,0,1,0,10,7668,0.254662,0,0.301152,46,0
0,1,0,2,5,2264,0.229139,2,0,27,0
0,0,5,0,9,11666,0.384075,0,0.138794,43,0
0,0,2,0,13,3800,0.532755,0,0.193585,51,0
0,0,0,1,8,6000,0.05799,1,0.001125,28,0
0,0,0,0,5,6583,0.099635,0,0.485558,51,0
0,0,0,0,2,4015,0.016683,0,0.090642,69,0
3,0,1,0,5,7416,0.5331,0,0.384808,42,0
0,1,0,0,2,2372,0.228403,0,1,54,1
3,0,1,0,7,7996,0.262849,0,0.29032,48,0
0,0,2,0,15,5000,0.568886,1,0.091201,49,0
1,0,1,0,10,4700,0.278026,0,0.500235,46,0
1,0,3,0,16,4000,1.620345,2,0.91314,37,1
0,0,1,0,8,?,2126,0,0.05639,54,0
0,0,0,0,4,800,0.347066,0,0.611389,22,0
1,0,2,0,17,8916,0.482561,0,0.289471,44,0
1,1,1,0,8,3600,0.29714,1,0.814155,50,1
2,0,0,0,3,5599,0.001786,0,0.016407,55,0
0,0,0,0,5,7416,0.044762,0,0.012559,62,0
?,0,1,0,4,?,1215,0,0.074201,47,0
2,0,0,0,9,9841,0.055985,0,0.640059,39,1
0,0,2,0,11,8000,0.724784,0,0.581816,45,0
0,0,0,0,3,?,0,0,0,82,0
?,0,2,0,3,?,3819,0,0,64,0
2,0,1,0,12,12900,0.498488,0,0.266371,58,0
3,0,2,0,7,?,7963,0,0.749602,62,0
1,0,3,0,11,10480,0.52495,1,0.955546,52,1
1,0,1,0,8,0,887,0,0.086635,40,0
1,0,1,0,10,8836,0.484214,2,0.954396,45,0
0,0,1,0,9,6120,0.6744,0,0.01405,37,0
2,0,2,0,16,3597,0.437743,0,0.32961,36,0
0,0,2,0,9,3612,0.534182,0,0.084827,59,0
0,0,0,0,3,9000,0.030774,0,0.152251,49,0
1,0,0,0,1,4700,0,0,0,30,0
2,0,3,0,8,6000,0.747375,3,0.1068,44,0
0,0,0,0,2,?,3,0,0.004553,34,0
1,0,1,0,8,3620,0.388567,0,0.277436,59,0
2,0,1,0,6,70000,0.024885,0,0.162077,38,0
0,0,1,0,8,10234,0.353884,0,0.622525,43,0
3,0,1,0,16,?,3169,0,0.113165,57,0
0,0,2,0,10,9000,0.324742,0,0.486651,55,0
0,0,2,0,10,7420,0.480393,0,0.039296,48,0
0,1,0,3,9,2500,0.54938,1,0.339504,89,1
0,0,1,0,10,8166,0.197625,2,0.064835,56,0
0,0,0,0,1,4144,0.138721,1,1,55,0
0,0,1,0,16,4000,1.308923,0,0.503588,63,0
2,0,1,0,12,7900,0.348057,0,0.302482,46,0
0,0,0,0,6,1813,0.184123,0,0.159116,91,0
0,0,0,0,5,?,2568,0,0.768537,46,0
3,0,1,0,5,3775,0.373941,0,0.293042,45,0
0,0,1,0,6,10000,0.238076,0,0,51,0
?,0,0,0,5,?,1021,0,0.291956,45,0
1,0,2,0,6,5833,0.240144,0,0.250818,36,0
0,0,5,0,14,16800,0.349027,0,0.002965,67,0
1,0,0,0,4,6283,0.102801,0,0.048911,63,0
0,0,2,0,20,7500,0.57259,0,0.517045,61,1
0,0,0,0,6,2223,0.010791,0,0.0241,86,0
1,2,1,0,12,5833,0.350874,0,0.387066,51,1
0,0,1,0,11,5000,0.187762,0,0.021742,70,0
0,0,5,0,17,6500,1.908629,0,0.008666,58,0
2,0,0,0,13,0,723,0,0.155742,39,0
1,0,2,0,10,5770,0.513602,0,0.210443,53,0
1,0,0,0,4,2247,0.175267,0,0.095635,36,0
0,1,0,1,13,2080,0.21384,1,0.211206,44,0
0,0,2,0,11,7166,0.444956,0,0.184477,32,0
2,0,2,0,18,3850,1.383017,0,0.392141,54,0
2,0,3,0,13,1700,1.432687,0,0.34696,41,0
0,0,2,0,2,0,2866,0,1,40,0
1,0,1,0,8,4300,0.297373,0,0.104694,36,0
0,0,3,0,13,11916,0.4048,0,0.04674,57,0
2,0,0,0,18,4500,0.183737,0,0.883182,49,0
0,0,0,0,4,0,79,0,0.005326,53,0
0,0,1,0,12,7123,0.29548,0,0.08881,51,0
0,0,1,0,5,?,2719,0,0,53,0
3,0,2,0,16,12667,0.337622,0,0.402346,37,1
1,0,1,0,6,3812,0.258589,0,0.01035,52,0
2,0,1,0,5,11318,0.23359,0,0.044843,51,0
0,0,0,0,6,3000,0.156614,0,0.007712,69,0
?,0,0,0,7,?,84,0,0.066779,67,0
2,0,1,0,4,7666,0.370419,0,0,36,0
4,1,2,0,13,16984,0.160318,3,0.314686,51,1
0,0,3,0,9,4500,0.55832,0,0.149314,36,1
0,0,0,0,9,2841,0.238213,0,0,33,0
0,0,1,0,15,8741,0.162892,0,0.03785,62,0
1,0,0,0,10,4500,0.162186,0,0.281116,69,0
2,0,0,0,7,4800,0.093522,0,0.133689,49,0
0,1,1,0,6,?,1434,2,0.321458,46,0
0,0,0,0,15,3000,0.36088,0,0.025082,57,0
0,0,0,2,3,2700,0.17512,0,1.248751,33,1
1,0,1,0,7,4900,0.517037,0,0.914867,40,0
2,2,0,3,10,4400,0.30584,4,0.964561,35,0
0,0,0,0,7,7125,0.017261,0,0.035606,81,0
0,0,1,0,7,7166,0.390959,0,0.004595,52,0
1,0,0,0,4,6500,0.009691,0,0.042534,69,0
0,0,2,0,5,?,3300,0,0.121365,34,0
1,0,2,0,15,9501,0.448327,0,0.180162,40,0
2,0,2,0,10,5833,0.662153,0,0.05494,35,0
0,0,0,0,3,11000,0.008908,0,0.099724,80,0
0,0,0,0,6,?,48,0,0.030513,68,0
0,0,0,0,9,4500,0.149078,0,0.175434,47,0
1,0,0,0,4,4117,0.36134,2,0.990764,36,1
3,0,0,0,17,11666,0.166452,0,0.386084,49,0
0,0,3,0,16,9083,0.51354,0,0.023114,64,0
0,0,0,0,1,820,0.017052,1,0.529412,26,0
1,0,1,0,21,7035,0.457931,0,0.192722,77,0
0,0,0,2,1,4000,0.177956,0,1,32,0
0,0,1,0,22,1082,3.874423,0,0.359412,54,0
2,0,1,0,9,?,2958,0,0.079538,53,0
1,0,1,1,8,6000,0.271121,0,2066,58,1
0,0,1,0,4,11916,0.207519,3,0.012399,50,0
3,0,0,0,5,2648,0.232918,1,0.520419,36,0
0,0,0,0,5,4400,0.26244,0,0.00964,52,0
0,0,2,0,8,11000,0.441869,0,0.9864,36,0
0,0,0,0,10,5000,0.0002,0,0.00102,83,0
0,0,1,0,1,?,631,0,1,36,0
0,0,1,0,11,1666,0.668266,0,0.016142,76,0
0,0,0,0,2,2833,0.045872,0,0.189734,60,0
1,0,1,0,12,16441,0.361939,2,0.049082,63,0
0,0,0,0,7,4213,0.319174,0,1.163184,52,0
0,0,3,0,5,7666,0.601017,0,0.238017,58,0
0,0,1,0,4,5000,0.312937,0,0.476536,33,0
0,0,0,0,9,4000,0.043739,0,0.116188,33,0
0,0,3,0,11,17000,0.711076,0,0.013574,60,0
2,1,0,0,3,3274,0.260763,0,1,27,0
0,0,1,0,5,3600,0.336295,0,0.029185,41,0
0,0,2,0,8,3200,0.812871,0,0.141854,79,0
0,0,0,0,4,4490,0.020708,0,0.073192,54,0
2,0,2,0,14,5010,0.691279,5,0.987669,39,1
0,0,2,0,7,21000,0.453693,0,0.061215,35,0
1,0,0,0,3,2600,0.052672,0,0,63,0
1,0,3,0,7,7166,0.369192,0,0,55,0
0,0,2,1,13,4052,0.632371,0,0.023313,58,1
0,0,2,0,10,10000,0.324268,0,0.077358,44,0
0,0,0,0,1,2900,0.001724,0,0.357285,25,0
0,0,0,0,4,0,5,1,0.002141,89,0
2,0,1,0,5,3500,0.441874,0,0,32,1
1,0,1,0,5,?,526,0,0,58,0
0,0,1,2,8,7881,0.531464,1,0,59,0
0,0,0,0,13,1105,0.372514,0,0.015294,50,0
0,0,0,0,4,?,13,0,0.014688,82,0
0,0,2,1,7,?,2410,1,0.917428,66,0
0,0,0,0,4,2236,0,0,0.000549,59,0
0,0,2,1,14,10862,0.342355,0,0.427591,39,0
0,0,1,0,3,3000,0.508164,0,0.982478,36,0
0,0,1,0,4,5611,0.170706,0,0.083486,71,0
0,1,0,0,20,?,3265,3,1.008507,58,1
?,0,1,0,8,?,1591,0,0.537597,68,0
0,1,0,2,1,1794,0.129805,0,1.257485,26,1
0,0,1,0,21,4167,0.274952,0,0.045649,27,0
0,1,1,0,8,4106,0.681276,0,0.962947,50,1
1,0,4,0,11,10416,0.735816,0,0,45,0
0,0,0,0,10,4479,0.166518,0,0.067401,26,0
0,0,0,0,2,?,111,0,0.134375,63,0
0,0,0,0,0,?,11,0,1,40,0
1,0,1,0,9,3414,0.528551,0,0.25561,54,0
1,0,4,0,8,13350,0.387087,4,0.682709,41,0
?,0,0,0,2,?,2,0,0,87,0
4,0,0,0,11,3642,0.107878,0,0,46,0
2,0,0,1,0,6421,0.165213,0,1,48,0
1,0,1,0,6,6772,0.552931,0,0.178964,56,0
?,0,0,0,3,?,0,0,0,90,0
0,0,0,0,5,5449,0.142385,0,0.626266,56,0
0,0,0,0,6,?,969,0,0.524916,32,0
0,1,2,0,6,4200,0.34468,0,0.335446,40,0
0,0,0,0,10,2400,0.013328,0,0.001877,79,0
0,0,1,0,6,?,779,0,0,63,0
0,0,0,0,6,5455,0,0,0.001901,69,0
2,0,3,0,12,9200,0.216281,0,0.10772,47,0
1,0,0,0,3,2336,0.012837,0,0.013399,71,0
0,0,1,0,11,?,1387,0,0.064098,56,0
0,0,1,0,5,0,2231,0,0.292568,64,0
0,1,2,0,6,0,11311,0,0.734284,45,0
0,0,1,0,9,7854,0.332527,1,0.835312,31,0
0,0,3,0,9,?,6046,0,0,44,1
0,0,0,2,2,?,64,0,0.71976,47,1
0,0,1,0,14,5476,0.447143,0,0.047294,57,0
3,0,0,0,20,3910,0.380977,0,0.028084,50,0
0,0,2,0,11,4287,0.538013,0,0.778719,81,1
2,0,0,0,7,13400,0.103425,0,0.457155,50,0
0,0,1,0,5,6916,0.32225,0,0.119461,34,0
0,0,1,0,10,11000,0.226434,0,0.12842,59,0
0,0,1,0,10,3600,0.207165,0,0.003986,81,0
0,0,1,0,8,?,3063,0,0.10597,55,0
0,0,0,0,1,1871,0.137821,0,1,26,0
0,0,2,0,13,15075,0.301075,0,0.151892,59,0
2,0,2,0,10,7916,0.375647,3,0.606025,39,0
2,0,0,0,7,24750,0.022504,0,0.010186,47,0
2,0,2,0,11,13000,0.37374,0,0.347921,42,0
1,0,0,0,3,2800,0.319172,0,0.489875,34,0
1,0,1,0,12,9700,0.236574,0,0.958821,56,0
0,0,2,0,7,2500,0.551779,0,0,39,0
0,0,0,0,2,?,81,0,0.667833,60,0
1,0,4,0,13,4975,1.112942,0,0.388257,45,0
0,0,0,0,5,2500,0.262695,0,0.0034,63,0
0,0,1,0,6,?,2628,0,1,38,0
0,0,2,0,13,?,3930,0,0.707146,64,0
0,0,0,0,5,2000,0.294853,0,0.397244,25,0
?,0,1,0,3,?,777,0,0.197441,36,0
1,0,1,0,15,2308,0.984409,0,0.514353,39,1
0,0,0,0,4,10500,0,0,0.0007,83,0
0,0,0,0,12,2500,0.515794,0,0.8224,63,0
2,0,2,0,21,?,7806,0,0.04276,52,0
0,0,0,0,6,2700,0.339874,0,0.477368,36,0
2,0,0,0,8,10000,0.224578,0,0.041367,45,0
2,0,2,0,8,6700,0.560215,1,0.156646,45,0
0,0,1,0,13,10000,0.266873,0,0.163751,65,0
?,0,1,0,6,?,2615,0,0.086383,38,0
1,0,0,0,6,3800,0.370692,0,1,47,0
0,0,2,0,7,3916,1.220066,0,0.153647,34,0
2,0,1,0,16,5640,0.421202,0,0.083782,46,0
1,0,2,0,17,4300,0.881655,2,0.913774,55,1
0,0,4,0,18,8400,0.751458,0,0.251284,34,0
2,0,2,0,11,500,2.694611,0,0.001905,37,0
0,0,0,0,5,5400,0.020737,0,0.040548,74,0
1,0,2,0,7,7166,0.514162,0,0.034529,55,0
0,0,0,0,7,?,692,0,0.010441,72,0
0,0,1,0,8,?,1589,1,0,80,0
?,0,0,0,5,?,24,0,0.015645,77,0
0,0,0,0,3,4577,0.047401,0,0.630902,73,0
0,0,1,0,5,12407,0.146277,0,0.055228,48,0
0,0,0,0,2,6400,0,0,0,50,0
0,0,2,0,11,?,1934,0,0.030328,70,0
3,0,0,0,13,?,817,0,0.194273,53,0
0,0,0,0,3,?,724,0,0.235753,63,0
1,0,2,0,10,4000,0.605099,3,1.004422,48,1
0,0,1,1,4,?,2446,1,0.154956,62,0
0,0,0,0,22,6300,0.156959,0,0.319379,59,0
2,1,0,1,1,5323,0.167543,0,1,55,0
0,0,0,0,2,?,162,0,0.07791,82,0
1,0,2,0,11,8966,0.546448,1,0.700331,45,0
0,0,0,0,8,?,346,0,0,26,0
0,0,0,0,11,5000,0.180764,0,0.019328,80,0
1,0,0,0,5,3400,0.181417,0,0.878245,40,1
2,0,3,0,19,?,3558,2,0.228743,38,1
0,0,1,0,10,13400,0.283412,1,0.275946,57,0
0,0,0,0,6,?,710,1,0.357684,32,0
3,0,3,0,18,10000,0.252275,1,0.102951,43,0
0,0,1,0,11,12400,0.135554,0,0.040283,54,0
0,0,0,0,2,8750,0.067878,0,0.181442,32,0
2,0,1,0,4,18836,0.10267,0,0.863214,29,0
0,0,0,0,4,6250,0,0,0,50,0
2,0,1,0,14,4500,0.53166,0,0.479013,36,0
0,0,0,0,2,?,19,0,0.024035,63,0
0,0,0,0,7,2200,0.433894,0,0.399034,32,0
4,1,0,0,2,3335,0.047962,0,1,31,0
2,0,1,0,11,?,2574,0,0.003958,52,0
0,0,1,1,10,2513,0.535402,0,0.017559,47,1
0,0,0,0,13,?,1132,0,0.039609,50,0
1,0,0,0,10,4221,0.009948,0,0.024643,75,0
0,0,1,0,8,?,1068,0,0.224507,58,0
1,0,1,0,8,3130,0.288726,0,0.149038,44,0
2,0,4,0,17,8500,0.938243,0,0.546514,35,1
